is_parent_record,customer_type,salutation,contact_name,display_name,use_app_user_details,is_sub_customer,organisation_type,organisation_name,is_msme_reg,email,phone,website,facebook,twitter,notes,is_contact_address,contact_person,flat_door_no,street,city,pincode,state,country,is_billing_address,is_shipping_address,is_contact_account_details,account_holder_name,account_number,ifsc_code,bank_name,branch_name,is_contact_tax_details,pan,gstin,gst_reg_type,opening_balance,as_of,preferred_payment_method,preferred_currency,preferred_delivery,invoice_terms,billing_terms
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
TRUE,10,10,contact_name,display_name,TRUE,1,1,organisation_name,FALSE,dipikayadav773@gmail.com,8652626322,http://www.skype.com,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,https://docs.google.com/spreadsheets/d/1PmtFLmoaLKdU8CfSk1IbIs4mFHFNySEGIvcUUd9SA_U/edit#gid=1523091471,My_notes,TRUE,contact_person1,"6,45",New south park,Mumbai,401303,maharastra,IND,TRUE,FALSE,TRUE,account_holder_name1,11100,CBIN0281621,ICICI,KGP,TRUE,ABCDE1234S,23AADCB2230M1Z1,3,1000,,1,USD,1,1,1
